time,switches
2019-07-12 11:38:56,303.0292
2019-07-12 11:38:55,295.3579
2019-07-12 11:38:54,296.8256
2019-07-12 11:38:53,305.3677
2019-07-12 11:38:52,306.9382
2019-07-12 11:38:51,295.3659
2019-07-12 11:38:50,289.6842
2019-07-12 11:38:49,362.3871
2019-07-12 11:38:48,383.2472
2019-07-12 11:38:47,317.4978
2019-07-12 11:38:46,310.8138
2019-07-12 11:38:45,329.5874
2019-07-12 11:38:44,375.6996
2019-07-12 11:38:43,372.2646
2019-07-12 11:38:42,317.1644
2019-07-12 11:38:41,320.2135
2019-07-12 11:38:40,321.2842
2019-07-12 11:38:39,353.5726
2019-07-12 11:38:38,341.3462
2019-07-12 11:38:37,296.6056
2019-07-12 11:38:36,310.8242
2019-07-12 11:38:35,296.0558
2019-07-12 11:38:34,311.2666
2019-07-12 11:38:33,317.5081
2019-07-12 11:38:32,307.5246
2019-07-12 11:38:31,304.1256
2019-07-12 11:38:30,305.4575
2019-07-12 11:38:29,314.4095
2019-07-12 11:38:28,320.2522
2019-07-12 11:38:27,346.3105
2019-07-12 11:38:26,345.0389
2019-07-12 11:38:25,310.3068
2019-07-12 11:38:24,296.8954
2019-07-12 11:38:23,290.9265
2019-07-12 11:38:22,300.4365
2019-07-12 11:38:21,302.5362
2019-07-12 11:38:20,303.6384
2019-07-12 11:38:19,326.6473
2019-07-12 11:38:18,312.5142
2019-07-12 11:38:17,282.5176
2019-07-12 11:38:16,286.6184
2019-07-12 11:38:15,320.9405
2019-07-12 11:38:14,414.7927
2019-07-12 11:38:13,407.1572
2019-07-12 11:38:12,307.6003
2019-07-12 11:38:11,300.8197
2019-07-12 11:38:10,298.7431
2019-07-12 11:38:09,355.282
2019-07-12 11:38:08,355.6898
2019-07-12 11:38:07,282.7346
2019-07-12 11:38:06,295.6352
2019-07-12 11:38:05,310.465
2019-07-12 11:38:04,290.9184
2019-07-12 11:38:03,272.8247
2019-07-12 11:38:02,277.1119
2019-07-12 11:38:01,281.4803
2019-07-12 11:38:00,281.5918
2019-07-12 11:37:59,351.6442
2019-07-12 11:37:58,362.4353
2019-07-12 11:37:57,310.8934
2019-07-12 11:37:56,308.001
2019-07-12 11:37:55,297.0816
2019-07-12 11:37:54,273.9971
2019-07-12 11:37:53,279.141
2019-07-12 11:37:52,289.7787
2019-07-12 11:37:51,288.6367
2019-07-12 11:37:50,301.7321
2019-07-12 11:37:49,328.0377
2019-07-12 11:37:48,316.1284
2019-07-12 11:37:47,289.4428
2019-07-12 11:37:46,308.138
2019-07-12 11:37:45,344.3174
2019-07-12 11:37:44,372.6882
2019-07-12 11:37:43,367.2423
2019-07-12 11:37:42,328.7471
2019-07-12 11:37:41,326.8704
2019-07-12 11:37:40,323.342
2019-07-12 11:37:39,321.6566
2019-07-12 11:37:38,312.7962
2019-07-12 11:37:37,307.6179
2019-07-12 11:37:36,307.3464
2019-07-12 11:37:35,292.9149
2019-07-12 11:37:34,294.0185
2019-07-12 11:37:33,299.5116
2019-07-12 11:37:32,309.4526
2019-07-12 11:37:31,298.9621
2019-07-12 11:37:30,302.4193
2019-07-12 11:37:29,324.7213
2019-07-12 11:37:28,319.8044
2019-07-12 11:37:27,361.4031
2019-07-12 11:37:26,341.0726
2019-07-12 11:37:25,292.1033
2019-07-12 11:37:24,297.0665
2019-07-12 11:37:23,298.6242
2019-07-12 11:37:22,297.7148
2019-07-12 11:37:21,294.3048
2019-07-12 11:37:20,299.79
2019-07-12 11:37:19,359.3445
2019-07-12 11:37:18,347.7684
2019-07-12 11:37:17,374.7048
2019-07-12 11:37:16,382.0747
2019-07-12 11:37:15,353.1779
2019-07-12 11:37:14,420.8758
2019-07-12 11:37:13,410.0667
2019-07-12 11:37:12,319.2526
2019-07-12 11:37:11,306.8772
2019-07-12 11:37:10,306.1106
2019-07-12 11:37:09,307.9066
2019-07-12 11:37:08,301.655
2019-07-12 11:37:07,303.3082
2019-07-12 11:37:06,293.6385
2019-07-12 11:37:05,287.5147
2019-07-12 11:37:04,293.7584
2019-07-12 11:37:03,279.7543
2019-07-12 11:37:02,274.8903
2019-07-12 11:37:01,283.0781
2019-07-12 11:37:00,274.3171
2019-07-12 11:36:59,269.5119
2019-07-12 11:36:58,265.7002
2019-07-12 11:36:57,328.2326
2019-07-12 11:36:56,347.4695
2019-07-12 11:36:55,310.0612
2019-07-12 11:36:54,299.0461
2019-07-12 11:36:53,292.2902
2019-07-12 11:36:52,286.4738
2019-07-12 11:36:51,284.9944
2019-07-12 11:36:50,304.2478
2019-07-12 11:36:49,298.2564
2019-07-12 11:36:48,283.0069
2019-07-12 11:36:47,303.3263
2019-07-12 11:36:46,320.7857
2019-07-12 11:36:45,325.3877
2019-07-12 11:36:44,409.1977
2019-07-12 11:36:43,394.2963
2019-07-12 11:36:42,297.0017
2019-07-12 11:36:41,299.7875
2019-07-12 11:36:40,323.6204
2019-07-12 11:36:39,318.5427
2019-07-12 11:36:38,297.2247
2019-07-12 11:36:37,310.5177
2019-07-12 11:36:36,299.0934
2019-07-12 11:36:35,291.996
2019-07-12 11:36:34,291.8702
2019-07-12 11:36:33,302.747
2019-07-12 11:36:32,294.4025
2019-07-12 11:36:31,283.4437
2019-07-12 11:36:30,288.6093
2019-07-12 11:36:29,285.5852
2019-07-12 11:36:28,287.3769
2019-07-12 11:36:27,403.6052
2019-07-12 11:36:26,377.5714
2019-07-12 11:36:25,289.5821
2019-07-12 11:36:24,286.6343
2019-07-12 11:36:23,294.5847
2019-07-12 11:36:22,295.7934
2019-07-12 11:36:21,300.846
2019-07-12 11:36:20,319.8172
2019-07-12 11:36:19,339.297
2019-07-12 11:36:18,332.2097
2019-07-12 11:36:17,374.817
2019-07-12 11:36:16,352.5974
2019-07-12 11:36:15,329.6782
2019-07-12 11:36:14,437.878
2019-07-12 11:36:13,411.2251
2019-07-12 11:36:12,320.6163
2019-07-12 11:36:11,337.7214
2019-07-12 11:36:10,312.803
2019-07-12 11:36:09,308.033
2019-07-12 11:36:08,307.6678
2019-07-12 11:36:07,297.7508
2019-07-12 11:36:06,357.7767
2019-07-12 11:36:05,327.7465
2019-07-12 11:36:04,292.0452
2019-07-12 11:36:03,288.1225
2019-07-12 11:36:02,306.7766
2019-07-12 11:36:01,315.2257
2019-07-12 11:36:00,313.1711
2019-07-12 11:35:59,302.0609
2019-07-12 11:35:58,303.4282
2019-07-12 11:35:57,309.6512
