time,reads,writes
2019-07-12 11:36:44,0,-0.4344103
2019-07-12 11:36:43,0,-1.1729906
2019-07-12 11:36:42,0,-0.8270094
2019-07-12 11:36:41,0,0
2019-07-12 11:36:40,0,0
2019-07-12 11:36:39,0,0
2019-07-12 11:36:38,0,0
2019-07-12 11:36:37,0,0
2019-07-12 11:36:36,0,0
2019-07-12 11:36:35,0,0
2019-07-12 11:36:34,0,0
2019-07-12 11:36:33,0,-1.1709416
2019-07-12 11:36:32,0,-0.8290584
2019-07-12 11:36:31,0,0
2019-07-12 11:36:30,0,0
2019-07-12 11:36:29,0,0
2019-07-12 11:36:28,0,0
2019-07-12 11:36:27,0,0
2019-07-12 11:36:26,0,0
2019-07-12 11:36:25,0,-2.350465
2019-07-12 11:36:24,0,-1.6495355
2019-07-12 11:36:23,0,0
2019-07-12 11:36:22,0,0
2019-07-12 11:36:21,0,0
2019-07-12 11:36:20,0,-1.757178
2019-07-12 11:36:19,0,-1.2428223
2019-07-12 11:36:18,0,0
2019-07-12 11:36:17,0,0
2019-07-12 11:36:16,0,0
2019-07-12 11:36:15,0,0
2019-07-12 11:36:14,0,0
2019-07-12 11:36:13,0,0
2019-07-12 11:36:12,0,-1.2130128
2019-07-12 11:36:11,0,-0.7869872
2019-07-12 11:36:10,0,0
2019-07-12 11:36:09,0,0
2019-07-12 11:36:08,0,0
2019-07-12 11:36:07,0,0
2019-07-12 11:36:06,0,0
2019-07-12 11:36:05,0,0
2019-07-12 11:36:04,0,0
2019-07-12 11:36:03,0,0
2019-07-12 11:36:02,0,-1.2139562
2019-07-12 11:36:01,0,-0.7860438
2019-07-12 11:36:00,0,0
2019-07-12 11:35:59,0,0
2019-07-12 11:35:58,0,0
2019-07-12 11:35:57,0,0
2019-07-12 11:35:56,0,0
2019-07-12 11:35:55,0,0
2019-07-12 11:35:54,0,0
2019-07-12 11:35:53,0,0
2019-07-12 11:35:52,0,0
