time,running,blocked
2019-07-12 11:37:56,5,0
2019-07-12 11:37:55,4,0
2019-07-12 11:37:54,4,0
2019-07-12 11:37:53,3,0
2019-07-12 11:37:52,4,0
2019-07-12 11:37:51,4,0
2019-07-12 11:37:50,3,0
2019-07-12 11:37:49,4,0
2019-07-12 11:37:48,3,0
2019-07-12 11:37:47,5,0
2019-07-12 11:37:46,4,0
2019-07-12 11:37:45,4,0
2019-07-12 11:37:44,5,0
2019-07-12 11:37:43,3,0
2019-07-12 11:37:42,4,0
2019-07-12 11:37:41,3,0
2019-07-12 11:37:40,4,0
2019-07-12 11:37:39,4,0
2019-07-12 11:37:38,3,0
2019-07-12 11:37:37,5,0
2019-07-12 11:37:36,4,0
2019-07-12 11:37:35,3,0
2019-07-12 11:37:34,5,0
2019-07-12 11:37:33,5,0
2019-07-12 11:37:32,3,0
2019-07-12 11:37:31,3,0
2019-07-12 11:37:30,3,0
2019-07-12 11:37:29,3,0
2019-07-12 11:37:28,3,0
2019-07-12 11:37:27,3,0
2019-07-12 11:37:26,4,0
2019-07-12 11:37:25,4,0
2019-07-12 11:37:24,3,0
2019-07-12 11:37:23,3,0
2019-07-12 11:37:22,4,0
2019-07-12 11:37:21,4,0
2019-07-12 11:37:20,5,0
2019-07-12 11:37:19,4,0
2019-07-12 11:37:18,4,0
2019-07-12 11:37:17,4,0
2019-07-12 11:37:16,5,0
2019-07-12 11:37:15,4,0
2019-07-12 11:37:14,5,0
2019-07-12 11:37:13,2,0
2019-07-12 11:37:12,5,0
2019-07-12 11:37:11,3,0
2019-07-12 11:37:10,4,0
2019-07-12 11:37:09,3,0
2019-07-12 11:37:08,2,0
2019-07-12 11:37:07,5,0
2019-07-12 11:37:06,2,0
2019-07-12 11:37:05,3,0
2019-07-12 11:37:04,4,0
2019-07-12 11:37:03,6,0
2019-07-12 11:37:02,4,0
2019-07-12 11:37:01,4,0
2019-07-12 11:37:00,8,0
2019-07-12 11:36:59,6,0
2019-07-12 11:36:58,3,0
2019-07-12 11:36:57,4,0
2019-07-12 11:36:56,4,0
2019-07-12 11:36:55,2,0
2019-07-12 11:36:54,4,0
2019-07-12 11:36:53,4,0
2019-07-12 11:36:52,4,0
2019-07-12 11:36:51,5,0
2019-07-12 11:36:50,3,0
2019-07-12 11:36:49,4,0
2019-07-12 11:36:48,4,0
2019-07-12 11:36:47,3,0
2019-07-12 11:36:46,2,0
2019-07-12 11:36:45,5,0
